level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	8	1	2	5	1791	744	87	39	59	ni)
2	1	9	0	0	0	469	805	931	26	-1	
3	1	9	1	0	0	469	805	931	26	-1	
4	1	9	1	1	0	469	805	931	26	-1	
5	1	9	1	1	1	469	805	155	26	95	Billing
5	1	9	1	1	2	644	805	159	20	94	Period
5	1	9	1	1	3	819	805	87	26	95	May
5	1	9	1	1	4	918	805	60	23	63	07,
5	1	9	1	1	5	992	805	103	20	93	2020
5	1	9	1	1	6	1110	816	14	3	90	-
5	1	9	1	1	7	1135	805	74	20	93	Jun
5	1	9	1	1	8	1223	805	60	23	93	05,
5	1	9	1	1	9	1299	805	101	20	93	2020
2	1	10	0	0	0	1799	857	818	164	-1	
3	1	10	1	0	0	1805	857	332	24	-1	
4	1	10	1	1	0	1805	857	332	24	-1	
5	1	10	1	1	1	1805	857	137	19	73	Meter
5	1	10	1	1	2	1952	857	185	24	67	Reading
3	1	10	2	0	0	1799	927	818	87	-1	
4	1	10	2	1	0	1799	927	818	22	-1	
5	1	10	2	1	1	1799	927	134	18	95	Meter
5	1	10	2	1	2	1948	927	191	18	93	Number:
5	1	10	2	1	3	2435	928	182	21	96	3435850
4	1	10	2	2	0	1799	955	758	35	-1	
5	1	10	2	2	1	1799	955	243	35	95	Estimated:
5	1	10	2	2	2	2438	962	119	21	96	11183
4	1	10	2	3	0	1799	986	762	35	-1	
5	1	10	2	3	1	1799	986	208	35	96	Previous:
5	1	10	2	3	2	2438	993	123	21	96	11044
2	1	11	0	0	0	786	1035	307	18	-1	
3	1	11	1	0	0	786	1035	307	18	-1	
4	1	11	1	1	0	786	1035	307	18	-1	
5	1	11	1	1	1	786	1035	114	18	83	Total
5	1	11	1	1	2	914	1035	179	18	95	Amount
2	1	12	0	0	0	688	1050	2248	160	-1	
3	1	12	1	0	0	688	1050	2248	152	-1	
4	1	12	1	1	0	688	1050	2248	132	-1	
5	1	12	1	1	1	688	1068	498	68	55	*426.75
5	1	12	1	1	2	1976	1050	84	132	53	vou
5	1	12	1	1	3	2060	1050	121	132	39	wees
5	1	12	1	1	4	2631	1057	95	132	31	Tite
5	1	12	1	1	5	2737	1057	88	132	45	oon
4	1	12	1	2	0	790	1158	2138	52	-1	
5	1	12	1	2	1	790	1164	122	24	85	(Taxes
5	1	12	1	2	2	922	1164	165	24	72	inciuded)
5	1	12	1	2	3	1960	1170	249	32	6	140rnns—
5	1	12	1	2	4	2645	1158	27	52	35	te
5	1	12	1	2	5	2680	1170	17	32	73	|
5	1	12	1	2	6	2709	1170	219	32	77	26.75
2	1	13	0	0	0	772	1201	2267	51	-1	
3	1	13	1	0	0	772	1201	2267	51	-1	
4	1	13	1	1	0	772	1201	325	18	-1	
5	1	13	1	1	1	772	1201	249	18	76	Withdrawn
5	1	13	1	1	2	1035	1201	62	18	91	On
4	1	13	1	2	0	789	1220	2250	32	-1	
5	1	13	1	2	1	789	1226	84	18	57	Jun
5	1	13	1	2	2	887	1226	66	23	93	29,
5	1	13	1	2	3	970	1226	111	18	96	2020
5	1	13	1	2	4	1803	1232	182	20	93	approx.
5	1	13	1	2	5	1999	1226	169	21	52	4.67m
5	1	13	1	2	6	2182	1232	81	20	95	per
5	1	13	1	2	7	2273	1226	91	26	94	day
5	1	13	1	2	8	2530	1232	184	20	88	approx.
5	1	13	1	2	9	2726	1220	117	27	81	*4.23
5	1	13	1	2	10	2858	1232	82	20	96	per
5	1	13	1	2	11	2950	1226	89	26	96	day
2	1	14	0	0	0	1847	1335	331	25	-1	
3	1	14	1	0	0	1847	1335	331	25	-1	
4	1	14	1	1	0	1847	1335	331	25	-1	
5	1	14	1	1	1	1831	1331	88	35	94	Did
5	1	14	1	1	2	1921	1331	95	35	94	you
5	1	14	1	1	3	2015	1331	167	35	66	know?
2	1	15	0	0	0	634	1415	1758	54	-1	
3	1	15	1	0	0	634	1415	1758	54	-1	
4	1	15	1	1	0	634	1415	548	24	-1	
5	1	15	1	1	1	634	1415	189	24	94	Charges
5	1	15	1	1	2	836	1415	63	18	93	for
5	1	15	1	1	3	912	1415	165	18	94	Natural
5	1	15	1	1	4	1093	1415	89	18	95	Gas
4	1	15	1	2	0	1785	1445	607	24	-1	
5	1	15	1	2	1	1785	1445	85	19	95	Your
5	1	15	1	2	2	1880	1450	148	19	95	average
5	1	15	1	2	3	2038	1445	83	24	95	daily
5	1	15	1	2	4	2133	1450	64	14	94	use
5	1	15	1	2	5	2211	1445	25	19	94	is
5	1	15	1	2	6	2250	1445	68	19	96	less
5	1	15	1	2	7	2330	1445	62	19	96	this
2	1	16	0	0	0	1785	1470	1238	74	-1	
3	1	16	1	0	0	1785	1470	1235	74	-1	
4	1	16	1	1	0	1785	1470	624	24	-1	
5	1	16	1	1	1	1785	1475	80	19	95	year
5	1	16	1	1	2	1875	1470	79	19	96	than
5	1	16	1	1	3	1968	1470	60	19	96	last
5	1	16	1	1	4	2038	1475	85	19	95	year.
5	1	16	1	1	5	2137	1470	142	19	87	Choose
5	1	16	1	1	6	2291	1470	73	19	88	eBill
5	1	16	1	1	7	2376	1472	33	17	96	to
4	1	16	1	2	0	1785	1478	1238	45	-1	
5	1	16	1	2	1	1785	1500	128	14	96	access
5	1	16	1	2	2	1925	1500	80	19	94	your
5	1	16	1	2	3	2015	1495	63	19	95	last
5	1	16	1	2	4	2088	1495	45	19	95	24
5	1	16	1	2	5	2145	1495	73	19	96	bills:
5	1	16	1	2	6	2514	1478	150	45	23	234m,"
5	1	16	1	2	7	2858	1478	165	45	41	140m,
4	1	16	1	3	0	1785	1520	500	24	-1	
5	1	16	1	3	1	1785	1520	500	24	21	enbridgegas.comirebill
2	1	17	0	0	0	741	1572	2253	22	-1	
3	1	17	1	0	0	741	1572	2253	22	-1	
4	1	17	1	1	0	741	1572	2253	22	-1	
5	1	17	1	1	1	741	1580	11	5	86	+
5	1	17	1	1	2	764	1574	62	16	94	See
5	1	17	1	1	3	838	1578	78	16	94	page
5	1	17	1	1	4	926	1574	19	16	96	2
5	1	17	1	1	5	956	1574	42	16	96	for
5	1	17	1	1	6	1007	1574	99	16	93	details
5	1	17	1	1	7	1118	1580	10	5	65	-
5	1	17	1	1	8	2538	1572	114	18	93	2019
5	1	17	1	1	9	2880	1572	114	18	94	2020
2	1	18	0	0	0	599	1747	1678	120	-1	
3	1	18	1	0	0	358	1736	1919	131	-1	
4	1	18	1	1	0	599	1747	904	22	-1	
5	1	18	1	1	1	599	1747	91	22	59	My
5	1	18	1	1	2	708	1747	151	22	94	LAST
5	1	18	1	1	3	877	1747	68	22	94	13
5	1	18	1	1	4	963	1747	260	22	95	MONTHS
5	1	18	1	1	5	1241	1747	124	22	95	GAS
5	1	18	1	1	6	1383	1747	120	22	94	USE
4	1	18	1	2	0	599	1785	295	24	-1	
5	1	18	1	2	1	599	1785	120	24	61	(faxes
5	1	18	1	2	2	731	1785	163	24	63	inciticdled)
4	1	18	1	3	0	2110	1849	167	18	-1	
5	1	18	1	3	1	2110	1849	167	18	84	$2,322.91
2	1	19	0	0	0	1758	1880	503	111	-1	
3	1	19	1	0	0	1758	1880	503	111	-1	
4	1	19	1	1	0	1758	1880	503	111	-1	
5	1	19	1	1	1	1758	1976	163	15	95	 
5	1	19	1	1	2	2133	1880	128	96	95	  
2	1	20	0	0	0	1733	1949	172	18	-1	
3	1	20	1	0	0	1733	1949	172	18	-1	
4	1	20	1	1	0	1733	1949	172	18	-1	
5	1	20	1	1	1	1733	1949	172	18	95	$1,565.18
2	1	21	0	0	0	1921	1961	550	28	-1	
3	1	21	1	0	0	1921	1961	550	28	-1	
4	1	21	1	1	0	1921	1961	550	28	-1	
5	1	21	1	1	1	1921	1961	173	20	88	$1,454.90
5	1	21	1	1	2	2298	1969	173	20	89	$1,402.42
2	1	22	0	0	0	1556	1976	1454	186	-1	
3	1	22	1	0	0	1556	1976	1454	186	-1	
4	1	22	1	1	0	1758	1976	692	57	-1	
5	1	22	1	1	1	1758	1976	692	57	95	   
4	1	22	1	2	0	1556	2033	1137	37	-1	
5	1	22	1	2	1	1556	2033	1137	37	95	 
4	1	22	1	3	0	1556	2070	1267	55	-1	
5	1	22	1	3	1	1556	2070	1267	55	95	 
4	1	22	1	4	0	1571	2125	1439	37	-1	
5	1	22	1	4	1	1571	2125	1439	37	95	 
2	1	23	0	0	0	2693	2042	132	19	-1	
3	1	23	1	0	0	2693	2042	132	19	-1	
4	1	23	1	1	0	2693	2042	132	19	-1	
5	1	23	1	1	1	2693	2042	132	19	95	$856.81
2	1	24	0	0	0	591	2162	2456	32	-1	
3	1	24	1	0	0	591	2162	2456	32	-1	
4	1	24	1	1	0	591	2162	2456	32	-1	
5	1	24	1	1	1	591	2162	2456	32	95	   
2	1	25	0	0	0	622	2134	879	30	-1	
3	1	25	1	0	0	622	2134	879	30	-1	
4	1	25	1	1	0	622	2134	879	30	-1	
5	1	25	1	1	1	622	2134	138	19	28	$149.10
5	1	25	1	1	2	819	2144	118	20	24	$79.26
5	1	25	1	1	3	1009	2143	115	18	96	$80.23
5	1	25	1	1	4	1196	2142	117	19	95	$80.23
5	1	25	1	1	5	1385	2143	116	18	92	$80.23
2	1	26	0	0	0	591	2162	228	12	-1	
3	1	26	1	0	0	591	2162	228	12	-1	
4	1	26	1	1	0	591	2162	228	12	-1	
5	1	26	1	1	1	591	2162	228	12	95	 
2	1	27	0	0	0	646	2200	2350	18	-1	
3	1	27	1	0	0	646	2200	2350	18	-1	
4	1	27	1	1	0	646	2200	2350	18	-1	
5	1	27	1	1	1	646	2200	50	14	79	Jun
5	1	27	1	1	2	711	2200	30	14	79	19
5	1	27	1	1	3	836	2200	84	14	68	Jul13
5	1	27	1	1	4	1015	2200	56	18	94	Aug
5	1	27	1	1	5	1085	2200	33	14	94	19
5	1	27	1	1	6	1210	2200	52	17	94	Sep
5	1	27	1	1	7	1277	2200	30	14	78	19
5	1	27	1	1	8	1398	2200	49	14	43	Oct
5	1	27	1	1	9	1460	2200	31	14	43	193
5	1	27	1	1	10	1583	2200	54	14	93	Nov
5	1	27	1	1	11	1649	2200	31	14	93	19
5	1	27	1	1	12	1772	2200	56	14	0	Dec
5	1	27	1	1	13	1841	2200	31	14	0	193
5	1	27	1	1	14	1964	2200	48	14	93	Jan
5	1	27	1	1	15	2024	2200	33	14	93	20
5	1	27	1	1	16	2149	2200	52	14	95	Feb
5	1	27	1	1	17	2211	2200	35	14	95	20
5	1	27	1	1	18	2333	2200	55	14	96	Mar
5	1	27	1	1	19	2399	2200	35	14	96	20
5	1	27	1	1	20	2524	2200	50	17	94	Apr
5	1	27	1	1	21	2584	2200	35	14	94	20
5	1	27	1	1	22	2711	2200	56	17	96	May
5	1	27	1	1	23	2778	2200	32	14	95	20
5	1	27	1	1	24	2903	2200	47	14	94	Jun
5	1	27	1	1	25	2962	2200	34	14	94	20
2	1	28	0	0	0	309	2285	2963	62	-1	
3	1	28	1	0	0	309	2285	2963	62	-1	
4	1	28	1	1	0	309	2285	556	15	-1	
5	1	28	1	1	1	309	2285	10	5	87	*
5	1	28	1	1	2	333	2285	52	12	96	HST
5	1	28	1	1	3	393	2285	132	15	96	Registration
5	1	28	1	1	4	535	2285	95	12	96	Number:
5	1	28	1	1	5	643	2285	125	12	92	105205140
5	1	28	1	1	6	778	2285	87	12	88	RTOOO1
4	1	28	1	2	0	309	2316	2963	15	-1	
5	1	28	1	2	1	309	2323	8	1	87	-
5	1	28	1	2	2	331	2316	102	15	95	Enbridge
5	1	28	1	2	3	440	2316	48	11	96	Gas
5	1	28	1	2	4	496	2316	91	15	96	charges
5	1	28	1	2	5	593	2319	37	8	96	are
5	1	28	1	2	6	636	2317	21	10	96	to
5	1	28	1	2	7	665	2316	27	11	96	be
5	1	28	1	2	8	700	2316	45	15	95	paid
5	1	28	1	2	9	755	2316	27	15	96	by
5	1	28	1	2	10	789	2316	34	11	96	the
5	1	28	1	2	11	832	2316	45	11	94	Due
5	1	28	1	2	12	885	2316	60	14	95	Date,
5	1	28	1	2	13	953	2316	64	11	95	which
5	1	28	1	2	14	1025	2316	17	11	96	is
5	1	28	1	2	15	1050	2316	124	11	96	considered
5	1	28	1	2	16	1182	2317	20	10	95	to
5	1	28	1	2	17	1210	2316	27	11	96	be
5	1	28	1	2	18	1244	2317	74	14	95	twenty
5	1	28	1	2	19	1326	2316	53	15	95	days
5	1	28	1	2	20	1386	2316	51	11	95	after
5	1	28	1	2	21	1443	2316	35	11	96	the
5	1	28	1	2	22	1486	2316	29	11	96	Bill
5	1	28	1	2	23	1525	2316	58	12	79	Date,
5	1	28	1	2	24	1591	2319	23	8	92	or
5	1	28	1	2	25	1620	2316	64	11	96	within
5	1	28	1	2	26	1692	2316	54	11	96	such
5	1	28	1	2	27	1752	2316	60	11	72	other
5	1	28	1	2	28	1818	2317	47	10	95	ime
5	1	28	1	2	29	1873	2316	69	15	96	period
5	1	28	1	2	30	1950	2319	27	8	96	as
5	1	28	1	2	31	1983	2317	35	10	94	set
5	1	28	1	2	32	2024	2317	35	10	94	out
5	1	28	1	2	33	2067	2319	17	8	96	in
5	1	28	1	2	34	2092	2316	35	11	93	the
5	1	28	1	2	35	2133	2316	85	11	42	Senice
5	1	28	1	2	36	2225	2316	102	11	95	Contract.
5	1	28	1	2	37	2333	2316	18	11	51	A
5	1	28	1	2	38	2357	2316	39	11	51	late
5	1	28	1	2	39	2405	2317	99	14	95	payment
5	1	28	1	2	40	2510	2316	78	15	95	charge
5	1	28	1	2	41	2594	2316	33	11	96	will
5	1	28	1	2	42	2635	2316	29	11	96	be
5	1	28	1	2	43	2670	2316	81	15	96	applied
5	1	28	1	2	44	2759	2319	29	8	95	on
5	1	28	1	2	45	2796	2319	41	12	95	any
5	1	28	1	2	46	2843	2317	87	10	95	amount
5	1	28	1	2	47	2938	2317	33	10	76	net
5	1	28	1	2	48	2979	2316	95	11	96	received
5	1	28	1	2	49	3082	2316	27	15	96	by
5	1	28	1	2	50	3115	2316	35	11	96	the
5	1	28	1	2	51	3158	2316	47	11	96	Due
5	1	28	1	2	52	3214	2316	58	12	63	Date,
4	1	28	1	3	0	331	2332	2875	15	-1	
5	1	28	1	3	1	331	2332	64	11	92	which
5	1	28	1	3	2	403	2332	17	11	96	is
5	1	28	1	3	3	428	2332	33	11	96	the
5	1	28	1	3	4	469	2332	101	11	96	twentieth
5	1	28	1	3	5	578	2332	65	15	85	(20th)
5	1	28	1	3	6	650	2332	42	15	96	day
5	1	28	1	3	7	698	2332	97	15	96	following
5	1	28	1	3	8	803	2332	35	11	96	the
5	1	28	1	3	9	846	2332	31	11	96	Bill
5	1	28	1	3	10	885	2332	54	11	75	Date.
5	1	28	1	3	11	953	2332	83	11	95	Interest
5	1	28	1	3	12	1042	2332	33	11	95	will
5	1	28	1	3	13	1083	2332	29	11	96	be
5	1	28	1	3	14	1118	2332	93	15	94	charged
5	1	28	1	3	15	1219	2333	20	10	95	at
5	1	28	1	3	16	1246	2332	35	11	96	the
5	1	28	1	3	17	1289	2333	41	10	96	rate
5	1	28	1	3	18	1338	2332	23	11	96	of
5	1	28	1	3	19	1367	2332	70	11	83	1.56%
5	1	28	1	3	20	1447	2335	35	12	96	per
5	1	28	1	3	21	1490	2332	71	11	96	month
5	1	28	1	3	22	1569	2332	99	15	96	(effective
5	1	28	1	3	23	1676	2332	76	11	95	annual
5	1	28	1	3	24	1760	2333	42	10	96	rate
5	1	28	1	3	25	1812	2332	84	11	95	19.56%
5	1	28	1	3	26	1904	2335	37	10	95	per
5	1	28	1	3	27	1948	2335	78	8	95	annum
5	1	28	1	3	28	2034	2335	25	8	88	or
5	1	28	1	3	29	2065	2332	115	11	81	0.04896%
5	1	28	1	3	30	2188	2332	149	15	93	compounded
5	1	28	1	3	31	2345	2332	52	15	95	daily
5	1	28	1	3	32	2405	2332	49	15	86	rate)
5	1	28	1	3	33	2462	2332	44	11	64	until
5	1	28	1	3	34	2514	2332	76	15	84	receipt
5	1	28	1	3	35	2590	2322	19	31	95	of
5	1	28	1	3	36	2615	2332	31	11	95	all
5	1	28	1	3	37	2652	2322	24	31	96	of
5	1	28	1	3	38	2677	2322	39	31	96	the
5	1	28	1	3	39	2724	2332	76	13	95	unpaid
5	1	28	1	3	40	2808	2332	101	15	85	Enbridge
5	1	28	1	3	41	2917	2332	48	11	96	Gas
5	1	28	1	3	42	2971	2332	97	15	95	charges,
5	1	28	1	3	43	3078	2332	97	15	93	including
5	1	28	1	3	44	3183	2332	23	11	95	all
2	1	29	0	0	0	331	2348	429	15	-1	
3	1	29	1	0	0	331	2348	429	15	-1	
4	1	29	1	1	0	331	2348	429	15	-1	
5	1	29	1	1	1	331	2348	114	15	96	applicable
5	1	29	1	1	2	451	2348	76	11	95	federal
5	1	29	1	1	3	535	2348	42	11	96	and
5	1	29	1	1	4	587	2348	103	15	94	provincial
5	1	29	1	1	5	698	2349	62	10	92	taxes.
2	1	30	0	0	0	309	2379	249	44	-1	
3	1	30	1	0	0	309	2379	249	44	-1	
4	1	30	1	1	0	309	2379	127	12	-1	
5	1	30	1	1	1	309	2379	39	12	38	-EBE
5	1	30	1	1	2	362	2379	74	12	0	aoe
4	1	30	1	2	0	309	2411	249	12	-1	
5	1	30	1	2	1	309	2418	8	1	70	-
5	1	30	1	2	2	331	2411	50	12	95	PEF
5	1	30	1	2	3	389	2411	68	12	78	Value:
5	1	30	1	2	4	467	2411	91	12	68	1.060570
2	1	31	0	0	0	3053	2616	206	24	-1	
3	1	31	1	0	0	3053	2616	206	24	-1	
4	1	31	1	1	0	3053	2616	206	24	-1	
5	1	31	1	1	1	3053	2616	95	24	95	Page
5	1	31	1	1	2	3162	2616	13	18	90	1
5	1	31	1	1	3	3193	2616	35	18	90	of
5	1	31	1	1	4	3236	2616	21	18	96	2
2	1	32	0	0	0	2880	2681	346	20	-1	
3	1	32	1	0	0	2880	2681	346	20	-1	
4	1	32	1	1	0	2880	2681	346	20	-1	
5	1	32	1	1	1	2880	2681	346	20	82	enbridgegas.com
2	1	33	0	0	0	327	2645	2691	88	-1	
3	1	33	1	0	0	327	2645	2691	88	-1	
4	1	33	1	1	0	327	2645	2183	65	-1	
5	1	33	1	1	1	327	2645	651	54	92	ENBRIDGE
5	1	33	1	1	2	1486	2694	303	16	34	ae
5	1	33	1	1	3	1987	2681	64	16	93	For
5	1	33	1	1	4	2063	2681	181	20	72	inquiries:
5	1	33	1	1	5	2258	2681	252	16	90	1-877-362-7434
4	1	33	1	2	0	1987	2712	1031	21	-1	
5	1	33	1	2	1	1987	2712	107	16	92	Make
5	1	33	1	2	2	2106	2712	198	21	91	Payments
5	1	33	1	2	3	2316	2712	50	16	95	to:
5	1	33	1	2	4	2378	2712	52	16	95	PO
5	1	33	1	2	5	2442	2712	60	16	95	Box
5	1	33	1	2	6	2512	2712	60	16	96	644
5	1	33	1	2	7	2584	2712	212	21	87	Scarborough,
5	1	33	1	2	8	2808	2712	52	16	92	ON
5	1	33	1	2	9	2874	2712	74	16	85	M1K
5	1	33	1	2	10	2958	2712	60	16	86	5H1
2	1	34	0	0	0	317	2712	2020	53	-1	
3	1	34	1	0	0	317	2712	2020	53	-1	
4	1	34	1	1	0	317	2712	363	24	-1	
5	1	34	1	1	1	317	2712	70	20	77	isfe
5	1	34	1	1	2	402	2712	111	20	85	Takes
5	1	34	1	1	3	525	2712	155	24	82	Energy:
4	1	34	1	2	0	1987	2744	350	21	-1	
5	1	34	1	2	1	1987	2744	175	21	94	Enbridge
5	1	34	1	2	2	2174	2744	78	16	95	Gas
5	1	34	1	2	3	2267	2744	70	16	95	Inc.
2	1	35	0	0	0	519	2907	2228	51	-1	
3	1	35	1	0	0	519	2907	2228	51	-1	
4	1	35	1	1	0	521	2907	1752	23	-1	
5	1	35	1	1	1	521	2911	130	19	91	CASA
5	1	35	1	1	2	665	2911	91	19	90	DEL
5	1	35	1	1	3	768	2911	161	19	86	ZOTTO
5	1	35	1	1	4	941	2911	296	19	95	APARTMENT
5	1	35	1	1	5	1898	2907	173	18	96	Service
5	1	35	1	1	6	2083	2907	190	18	95	Address
4	1	35	1	2	0	519	2937	2228	21	-1	
5	1	35	1	2	1	519	2940	78	18	51	9301
5	1	35	1	2	2	620	2940	265	18	77	LAVVFRENCE
5	1	35	1	2	3	900	2940	95	18	95	AVE
5	1	35	1	2	4	1007	2940	45	18	66	vv
5	1	35	1	2	5	1898	2937	91	19	95	3010
5	1	35	1	2	6	2003	2937	208	19	96	DUFFERIN
5	1	35	1	2	7	2225	2937	52	19	93	ST
5	1	35	1	2	8	2285	2937	213	19	89	TORONTO
5	1	35	1	2	9	2510	2937	60	19	92	ON
5	1	35	1	2	10	2584	2937	84	19	85	M6B
5	1	35	1	2	11	2678	2937	69	19	85	4J5
2	1	36	0	0	0	519	2969	2462	62	-1	
3	1	36	1	0	0	519	2969	2462	62	-1	
4	1	36	1	1	0	519	2969	550	19	-1	
5	1	36	1	1	1	519	2969	235	19	89	TORONTO
5	1	36	1	1	2	768	2969	68	19	94	ON
5	1	36	1	1	3	867	2969	101	19	89	MGA
5	1	36	1	1	4	982	2969	87	19	81	1C3
4	1	36	1	2	0	2790	3012	191	19	-1	
5	1	36	1	2	1	2790	3012	70	19	94	Bill
5	1	36	1	2	2	2876	3012	105	19	95	Date
2	1	37	0	0	0	1896	3012	1128	54	-1	
3	1	37	1	0	0	1896	3012	1128	54	-1	
4	1	37	1	1	0	1896	3012	389	19	-1	
5	1	37	1	1	1	1896	3012	194	19	93	Account
5	1	37	1	1	2	2104	3012	181	19	94	Number
4	1	37	1	2	0	2788	3044	236	22	-1	
5	1	37	1	2	1	2788	3044	66	19	94	Jun
5	1	37	1	2	2	2866	3044	54	22	75	0S,
5	1	37	1	2	3	2934	3044	90	19	95	2020
2	1	38	0	0	0	1898	3044	317	19	-1	
3	1	38	1	0	0	1898	3044	317	19	-1	
4	1	38	1	1	0	1898	3044	317	19	-1	
5	1	38	1	1	1	1898	3044	44	19	59	O03
5	1	38	1	1	2	1954	3044	39	19	93	01
5	1	38	1	1	3	2011	3044	44	19	92	72
5	1	38	1	1	4	2069	3044	107	19	85	34691
5	1	38	1	1	5	2195	3044	20	19	84	G
2	1	39	0	0	0	321	3196	2454	87	-1	
3	1	39	1	0	0	321	3196	2454	87	-1	
4	1	39	1	1	0	321	3196	2454	85	-1	
